Location,Total Health Spending
United States,$2405667.00
Alabama,$32874.00
Alaska,$7069.00
Arizona,$42517.00
Arkansas,$19383.00
California,$280043.00
Colorado,$34373.00
Connecticut,$33864.00
Delaware,$8634.00
District of Columbia,$10807.00
Florida,$148003.00
Georgia,$62909.00
Hawaii,$9823.00
Idaho,$9745.00
Illinois,$95330.00
Indiana,$50819.00
Iowa,$22192.00
Kansas,$20931.00
Kentucky,$32363.00
Louisiana,$34519.00
Maine,$11325.00
Maryland,$47401.00
Massachusetts,$69806.00
Michigan,$74232.00
Minnesota,$48142.00
Mississippi,$20320.00
Missouri,$46771.00
Montana,$7640.00
Nebraska,$15075.00
Nevada,$17131.00
New Hampshire,$11781.00
New Jersey,$72032.00
New Mexico,$13030.00
New York,$184693.00
North Carolina,$68367.00
North Dakota,$6675.00
Ohio,$94091.00
Oklahoma,$26886.00
Oregon,$29105.00
Pennsylvania,$114422.00
Rhode Island,$9582.00
South Carolina,$31243.00
South Dakota,$7640.00
Tennessee,$48719.00
Texas,$176816.00
Utah,$17055.00
Vermont,$5758.00
Virginia,$58088.00
Washington,$51243.00
West Virginia,$15168.00
Wisconsin,$45522.00
Wyoming,$3714.00
